Version: 1 OpenDRIVE: ..\xodr\_overtake0.xodr, 3DModel: 
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot, centerOffsetX, centerOffsetY, centerOffsetZ, ctrl_type, height, laneId, length, model_id, obj_category, obj_type, offset, roadId, s, t, width
0.000, 0, b'Ego', 15.000, -4.500, 0.000, 0.000, 0.000, 0.000, 55.000, 0.000, 0.000, 1.400, 0.000, 0.900, 0, 1.800, -2, 5.000, 0, 0, 1, 0.000, 0, 15.000, -4.500, 2.000
0.000, 1, b'A', -0.000, -1.500, 0.000, 0.000, 0.000, 0.000, 68.750, 0.000, 0.000, 1.300, 0.000, 0.800, 0, 1.500, -1, 4.500, 2, 0, 1, 0.000, 0, 0.000, -1.500, 1.800
0.100, 0, b'Ego', 20.500, -4.500, 0.000, 0.000, 0.000, 0.000, 55.000, 0.000, 3.148, 1.400, 0.000, 0.900, 0, 1.800, -2, 5.000, 0, 0, 1, 0.000, 0, 20.500, -4.500, 2.000
0.100, 1, b'A', 6.875, -1.500, 0.000, 0.000, 0.000, 0.000, 68.750, 0.000, 0.793, 1.300, 0.000, 0.800, 0, 1.500, -1, 4.500, 2, 0, 1, 0.000, 0, 6.875, -1.500, 1.800
0.200, 0, b'Ego', 26.000, -4.500, 0.000, 0.000, 0.000, 0.000, 55.000, 0.000, 0.013, 1.400, 0.000, 0.900, 0, 1.800, -2, 5.000, 0, 0, 1, 0.000, 0, 26.000, -4.500, 2.000
0.200, 1, b'A', 13.750, -1.500, 0.000, 0.000, 0.000, 0.000, 68.750, 0.000, 1.587, 1.300, 0.000, 0.800, 0, 1.500, -1, 4.500, 2, 0, 1, 0.000, 0, 13.750, -1.500, 1.800
0.300, 0, b'Ego', 31.500, -4.500, 0.000, 0.000, 0.000, 0.000, 55.000, 0.000, 3.161, 1.400, 0.000, 0.900, 0, 1.800, -2, 5.000, 0, 0, 1, 0.000, 0, 31.500, -4.500, 2.000
0.300, 1, b'A', 20.625, -1.500, 0.000, 0.000, 0.000, 0.000, 68.750, 0.000, 2.380, 1.300, 0.000, 0.800, 0, 1.500, -1, 4.500, 2, 0, 1, 0.000, 0, 20.625, -1.500, 1.800
0.400, 0, b'Ego', 37.000, -4.500, 0.000, 0.000, 0.000, 0.000, 55.000, 0.000, 0.025, 1.400, 0.000, 0.900, 0, 1.800, -2, 5.000, 0, 0, 1, 0.000, 0, 37.000, -4.500, 2.000
0.400, 1, b'A', 27.500, -1.500, 0.000, 0.000, 0.000, 0.000, 68.750, 0.000, 3.173, 1.300, 0.000, 0.800, 0, 1.500, -1, 4.500, 2, 0, 1, 0.000, 0, 27.500, -1.500, 1.800
0.500, 0, b'Ego', 42.500, -4.500, 0.000, 0.000, 0.000, 0.000, 55.000, 0.000, 3.173, 1.400, 0.000, 0.900, 0, 1.800, -2, 5.000, 0, 0, 1, 0.000, 0, 42.500, -4.500, 2.000
0.500, 1, b'A', 34.375, -1.500, 0.000, 0.000, 0.000, 0.000, 68.750, 0.000, 3.967, 1.300, 0.000, 0.800, 0, 1.500, -1, 4.500, 2, 0, 1, 0.000, 0, 34.375, -1.500, 1.800
0.600, 0, b'Ego', 48.000, -4.500, 0.000, 0.000, 0.000, 0.000, 55.000, 0.000, 0.038, 1.400, 0.000, 0.900, 0, 1.800, -2, 5.000, 0, 0, 1, 0.000, 0, 48.000, -4.500, 2.000
